department,added_amt,patient_count,discountamount
BONE AND JOINT HOSPITALS,640059.01,3,0
CARDIOLOGY,23464706.44,223,1990011
CHEST MEDICINE,5285524.15,42,178991
CRITICAL CARE,11057622.74,69,300101
ENDOCRINOLOGY,153239.0,1,2923
ENT,391812.70999999996,1,0
GASTROENTEROLOGY & G.I. ENDOSCOPY,8130506.33,71,82418
GENERAL SURGERY,4142470.33,26,67520
GYNAECOLOGY,1225568.1600000001,17,134451
INTERNAL MEDICINE,5120023.45,35,109087
MINIMAL ACCESS SURGERY HOSPITAL,144620.91999999998,2,0
NEPHROLOGY,757741.9199999999,9,7058
NEURO SURGERY,23828395.27,162,688654
NEUROLOGY,1846864.8299999998,19,76500
ONCOLOGY,9584467.86,135,366757
ORTHOPAEDIC,9446221.11,54,555925
PEDIATIRICS,3050878.5,71,105777
PLASTIC SURGERY,1415508.3900000001,16,85053
RADIOLOGY,503138.86,5,13274
UROLOGY,3012000.97,39,49903
